customer_id,customer_name,email,country
CUST_0067,Brian Williams,brianrangel@example.net,El Salvador
CUST_0068,Michelle Holder,andersonjames@example.org,Gambia
CUST_0069,Wendy Powell,dmiller@example.net,Turks and Caicos Islands
CUST_0070,Anthony Roberts,cheryldavidson@example.com,Maldives
CUST_0071,Victoria Phillips,swilson@example.com,Tanzania
CUST_0072,Nathaniel Price,allenkelly@example.org,British Indian Ocean Territory (Chagos Archipelago)
CUST_0073,Brittany Castaneda,rheath@example.net,Mayotte
CUST_0074,Nicole Walls,lloydmegan@example.org,Aruba
CUST_0075,Andrew Torres,jonesdonald@example.net,Lebanon
CUST_0076,Julie Gonzalez,skent@example.net,Bahamas
CUST_0077,Christopher Gonzales,simskayla@example.net,Djibouti
CUST_0078,Stacey Todd,debrarodriguez@example.com,Holy See (Vatican City State)
CUST_0079,Cheryl Waters,katie17@example.com,Greece
CUST_0080,Joseph Johnson,jenniferli@example.net,Niger
CUST_0081,Betty Watkins,manuelhernandez@example.net,Saint Martin
CUST_0082,Maria Fleming,vcoleman@example.com,Tonga
CUST_0083,Ricky Mays,paynelisa@example.org,Czech Republic
CUST_0084,Veronica Horn,whitetimothy@example.net,Sao Tome and Principe
CUST_0085,Michael Davis,daniel74@example.com,Tajikistan
CUST_0086,Jacqueline Dickerson,jon36@example.com,Korea
CUST_0087,Travis Williams,candacemorgan@example.org,Equatorial Guinea
CUST_0088,Aaron Martinez,luisgarcia@example.net,Ukraine
CUST_0089,Dr. Sydney Lopez,pthompson@example.com,Timor-Leste
CUST_0090,Rebecca Acosta,joel80@example.org,Ethiopia
CUST_0091,Wesley Chandler,sara68@example.net,Gibraltar
CUST_0092,Dominique Sanders,kingsara@example.org,Korea
CUST_0093,Kelli Freeman,rsmith@example.org,Holy See (Vatican City State)
CUST_0094,Jennifer Trevino,raguirre@example.com,Russian Federation
CUST_0095,Joseph Marquez,dunnlisa@example.net,Mayotte
CUST_0096,Michael Mitchell,ashleyspence@example.org,Syrian Arab Republic
CUST_0097,Lisa Taylor,nicolemiller@example.org,Kyrgyz Republic
CUST_0098,Dana Taylor,joseph47@example.org,Swaziland
CUST_0099,Austin Garcia,tracymarshall@example.net,Azerbaijan
CUST_0100,Anne Weaver,rhernandez@example.net,Maldives
